Name,Traders Family
Start Date,8/1/21
End Date,12/31/23

Date,Redownloads,First-Time Downloads
10/10/23,14.0,27.0
10/11/23,22.0,34.0
10/12/23,13.0,28.0
10/13/23,10.0,33.0
10/14/23,11.0,26.0
10/15/23,13.0,33.0
10/16/23,14.0,24.0
10/17/23,18.0,40.0
10/18/23,12.0,30.0
10/19/23,17.0,22.0
10/20/23,17.0,35.0
10/21/23,7.0,33.0
10/22/23,19.0,29.0
10/23/23,15.0,43.0
10/24/23,16.0,48.0
10/25/23,16.0,40.0
10/26/23,13.0,25.0
10/27/23,17.0,30.0
10/28/23,19.0,43.0
10/29/23,9.0,45.0
10/30/23,19.0,39.0
10/31/23,20.0,44.0
11/1/23,21.0,32.0
11/2/23,13.0,43.0
11/3/23,12.0,54.0
11/4/23,17.0,46.0
11/5/23,14.0,43.0
11/6/23,19.0,48.0
11/7/23,16.0,49.0
11/8/23,14.0,37.0
11/9/23,17.0,33.0
11/10/23,16.0,35.0
11/11/23,11.0,33.0
11/12/23,9.0,36.0
11/13/23,9.0,29.0
11/14/23,23.0,50.0
11/15/23,14.0,38.0
11/16/23,19.0,41.0
11/17/23,20.0,49.0
11/18/23,17.0,55.0
11/19/23,12.0,55.0
11/20/23,7.0,34.0
11/21/23,18.0,37.0
11/22/23,19.0,22.0
11/23/23,12.0,26.0
11/24/23,12.0,18.0
11/25/23,14.0,42.0
11/26/23,14.0,27.0
11/27/23,20.0,40.0
11/28/23,13.0,46.0
11/29/23,18.0,40.0
11/30/23,14.0,31.0
12/1/23,21.0,35.0
12/2/23,19.0,43.0
12/3/23,12.0,49.0
12/4/23,14.0,56.0
12/5/23,25.0,43.0
12/6/23,22.0,51.0
12/7/23,18.0,58.0
12/8/23,15.0,45.0
12/9/23,15.0,47.0
12/10/23,16.0,48.0
12/11/23,25.0,49.0
12/12/23,32.0,61.0
12/13/23,22.0,49.0
12/14/23,18.0,44.0
12/15/23,18.0,53.0
12/16/23,16.0,48.0
12/17/23,14.0,71.0
12/18/23,18.0,65.0
12/19/23,22.0,73.0
12/20/23,17.0,55.0
12/21/23,18.0,44.0
12/22/23,21.0,45.0
12/23/23,19.0,41.0
12/24/23,16.0,37.0
12/25/23,13.0,36.0
12/26/23,19.0,43.0
12/27/23,16.0,60.0
12/28/23,17.0,43.0
12/29/23,22.0,67.0
12/30/23,16.0,83.0
12/31/23,14.0,53.0
